game,trial,images_in_request,user_messages,message_count,log_bytes,naive_tokens_per_image,exact_tokens_per_image,wasted_tokens_per_image,wasted_tokens_in_request
ar25-0c556536,0,7,7,30,106322,512.4,66,446.4,3124.6
ar25-0c556536,1,4,4,15,84576,524.4,66,458.4,1833.5
ar25-0c556536,2,6,6,17,88545,509.9,66,443.9,2663.2
ar25-0c556536,3,9,9,32,90272,509.2,66,443.2,3989.2
ar25-0c556536,4,6,6,27,84726,523.1,66,457.1,2742.8
bp35-0a0ad940,0,11,12,45,109081,607.6,66,541.6,5957.9
bp35-0a0ad940,1,9,9,32,90906,593.2,66,527.2,4745.2
bp35-0a0ad940,2,6,6,19,104914,617.8,66,551.8,3310.5
bp35-0a0ad940,3,6,6,17,93817,588,66,522,3132
bp35-0a0ad940,4,7,7,24,84419,615.2,66,549.2,3844.8
cd82-fb555c5d,0,7,7,30,101438,455.1,66,389.1,2723.9
cd82-fb555c5d,1,8,8,25,91805,479.5,66,413.5,3308.0
cd82-fb555c5d,2,8,8,25,86585,458,66,392,3136
cd82-fb555c5d,3,6,6,27,91408,479.8,66,413.8,2482.5
cd82-fb555c5d,4,5,5,18,85798,454.8,66,388.8,1943.8
cn04-2fe56bfb,0,4,4,15,112027,482.5,66,416.5,1666.0
cn04-2fe56bfb,1,6,6,27,118369,491.4,66,425.4,2552.2
cn04-2fe56bfb,2,5,5,20,103878,476.5,66,410.5,2052.5
cn04-2fe56bfb,3,5,5,18,103106,475.6,66,409.6,2048.1
cn04-2fe56bfb,4,6,6,17,93728,476.4,66,410.4,2462.2
dc22-fdcac232,0,8,8,33,100971,568.1,66,502.1,4017.0
dc22-fdcac232,1,5,5,26,92799,549.1,66,483.1,2415.6
dc22-fdcac232,2,10,10,29,81300,570.9,66,504.9,5048.8
dc22-fdcac232,3,6,6,23,93022,543.8,66,477.8,2866.5
dc22-fdcac232,4,5,5,24,93884,539.6,66,473.6,2368.1
ft09-0d8bbf25,0,6,6,19,87105,506.2,66,440.2,2641.5
ft09-0d8bbf25,1,5,5,20,86053,502,66,436,2180
ft09-0d8bbf25,2,7,7,38,86392,559.1,66,493.1,3451.9
ft09-0d8bbf25,3,6,6,19,91613,513.5,66,447.5,2685.0
ft09-0d8bbf25,4,8,8,31,91046,508.8,66,442.8,3542.0
