run,game,score,headings_per_game_run
20260830_104347_prompt-static-to-system,ar25-0c556536,16.45,2.2
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0.58,1.9
20260830_104347_prompt-static-to-system,cd82-fb555c5d,7.68,0.9
20260830_104347_prompt-static-to-system,cn04-2fe56bfb,3.51,2.7
20260830_104347_prompt-static-to-system,dc22-fdcac232,4.69,0.6
20260830_104347_prompt-static-to-system,ft09-0d8bbf25,22.69,1.4
20260830_104347_prompt-static-to-system,g50t-5849a774,0.71,0.8
20260830_104347_prompt-static-to-system,ka59-38d34dbb,6.16,1.1
20260830_104347_prompt-static-to-system,lf52-271a04aa,2.42,0.5
20260830_104347_prompt-static-to-system,lp85-305b61c3,17.86,1.2
20260830_104347_prompt-static-to-system,ls20-9607627b,2.27,1.9
20260830_104347_prompt-static-to-system,m0r0-492f87ba,2.16,0.9
20260830_104347_prompt-static-to-system,r11l-495a7899,4.3,1.5
20260830_104347_prompt-static-to-system,re86-8af5384d,7.82,2.1
20260830_104347_prompt-static-to-system,s5i5-18d95033,3.12,0.8
20260830_104347_prompt-static-to-system,sb26-7fbdac44,13.04,2.4
20260830_104347_prompt-static-to-system,sc25-635fd71a,12.27,1.3
20260830_104347_prompt-static-to-system,sk48-d8078629,0.28,0.9
20260830_104347_prompt-static-to-system,sp80-589a99af,1.75,3.2
20260830_104347_prompt-static-to-system,su15-1944f8ab,4.64,4
20260830_104347_prompt-static-to-system,tn36-ef4dde99,3.51,1.5
20260830_104347_prompt-static-to-system,tr87-cd924810,1.84,0.4
20260830_104347_prompt-static-to-system,tu93-0768757b,8.11,1.3
20260830_104347_prompt-static-to-system,vc33-5430563c,12.2,2.4
20260830_104347_prompt-static-to-system,wa30-ee6fef47,2.23,3.6
20260830_110533_game-priors,ar25-0c556536,10.64,1.1
20260830_110533_game-priors,bp35-0a0ad940,0.31,1
20260830_110533_game-priors,cd82-fb555c5d,5.21,1.1
20260830_110533_game-priors,cn04-2fe56bfb,0.84,2
20260830_110533_game-priors,dc22-fdcac232,1.93,1.1
20260830_110533_game-priors,ft09-0d8bbf25,24.26,0.6
20260830_110533_game-priors,g50t-5849a774,0.56,0.9
20260830_110533_game-priors,ka59-38d34dbb,3.16,1.3
20260830_110533_game-priors,lf52-271a04aa,2.56,1
20260830_110533_game-priors,lp85-305b61c3,22.01,1.7
20260830_110533_game-priors,ls20-9607627b,1.74,1
20260830_110533_game-priors,m0r0-492f87ba,4.34,0.7
20260830_110533_game-priors,r11l-495a7899,4.82,1
20260830_110533_game-priors,re86-8af5384d,13.75,2.1
20260830_110533_game-priors,s5i5-18d95033,2.93,1.1
20260830_110533_game-priors,sb26-7fbdac44,5.33,1.8
20260830_110533_game-priors,sc25-635fd71a,4.27,0.8
20260830_110533_game-priors,sk48-d8078629,0.0,1.1
20260830_110533_game-priors,sp80-589a99af,1.47,2.3
20260830_110533_game-priors,su15-1944f8ab,6.58,2.1
20260830_110533_game-priors,tn36-ef4dde99,2.52,1
20260830_110533_game-priors,tr87-cd924810,0.68,0.5
20260830_110533_game-priors,tu93-0768757b,9.06,0.8
20260830_110533_game-priors,vc33-5430563c,15.52,1.5
20260830_110533_game-priors,wa30-ee6fef47,1.41,4
20260831_083143_remove_model_headings_and_game_priors,ar25-0c556536,16.62,1.9
20260831_083143_remove_model_headings_and_game_priors,bp35-0a0ad940,0.53,1.2
20260831_083143_remove_model_headings_and_game_priors,cd82-fb555c5d,5.34,1.4
20260831_083143_remove_model_headings_and_game_priors,cn04-2fe56bfb,3.61,2.3
20260831_083143_remove_model_headings_and_game_priors,dc22-fdcac232,3.58,1.2
20260831_083143_remove_model_headings_and_game_priors,ft09-0d8bbf25,24.65,0.7
20260831_083143_remove_model_headings_and_game_priors,g50t-5849a774,0.05,0.5
20260831_083143_remove_model_headings_and_game_priors,ka59-38d34dbb,4.29,3.5
20260831_083143_remove_model_headings_and_game_priors,lf52-271a04aa,1.74,0.6
20260831_083143_remove_model_headings_and_game_priors,lp85-305b61c3,20.14,2
20260831_083143_remove_model_headings_and_game_priors,ls20-9607627b,1.73,2
20260831_083143_remove_model_headings_and_game_priors,m0r0-492f87ba,2.81,0.8
20260831_083143_remove_model_headings_and_game_priors,r11l-495a7899,8.04,1.6
20260831_083143_remove_model_headings_and_game_priors,re86-8af5384d,9.67,2.7
20260831_083143_remove_model_headings_and_game_priors,s5i5-18d95033,2.15,0.5
20260831_083143_remove_model_headings_and_game_priors,sb26-7fbdac44,17.75,2.1
20260831_083143_remove_model_headings_and_game_priors,sc25-635fd71a,5.88,1.7
20260831_083143_remove_model_headings_and_game_priors,sk48-d8078629,0.0,1.8
20260831_083143_remove_model_headings_and_game_priors,sp80-589a99af,2.03,2.5
20260831_083143_remove_model_headings_and_game_priors,su15-1944f8ab,3.08,2.1
20260831_083143_remove_model_headings_and_game_priors,tn36-ef4dde99,5.21,1.5
20260831_083143_remove_model_headings_and_game_priors,tr87-cd924810,1.24,0.9
20260831_083143_remove_model_headings_and_game_priors,tu93-0768757b,9.62,1.5
20260831_083143_remove_model_headings_and_game_priors,vc33-5430563c,18.78,2
20260831_083143_remove_model_headings_and_game_priors,wa30-ee6fef47,0.78,4.2
20260831_094025_improve-game-prior-prompts-from-lp85-vc33-sc25,ar25-0c556536,19.74,1.7
20260831_094025_improve-game-prior-prompts-from-lp85-vc33-sc25,bp35-0a0ad940,0.61,1.9
20260831_094025_improve-game-prior-prompts-from-lp85-vc33-sc25,cd82-fb555c5d,6.09,0.6
20260831_094025_improve-game-prior-prompts-from-lp85-vc33-sc25,cn04-2fe56bfb,2.6,1.4
20260831_094025_improve-game-prior-prompts-from-lp85-vc33-sc25,dc22-fdcac232,4.28,0.7
20260831_094025_improve-game-prior-prompts-from-lp85-vc33-sc25,ft09-0d8bbf25,18.88,1.6
20260831_094025_improve-game-prior-prompts-from-lp85-vc33-sc25,g50t-5849a774,0.41,0.8
20260831_094025_improve-game-prior-prompts-from-lp85-vc33-sc25,ka59-38d34dbb,5.31,1.9
20260831_094025_improve-game-prior-prompts-from-lp85-vc33-sc25,lf52-271a04aa,1.33,0.5
