game,game_runs,headings_per_game_run,score,r_headings_score,r_partial_given_turns,r_turns_score
ar25-0c556536,40,1.73,15.86,0.327,0.322,-0.082
bp35-0a0ad940,40,1.5,0.51,-0.065,-0.028,-0.241
cd82-fb555c5d,40,1,6.08,-0.109,-0.095,-0.057
cn04-2fe56bfb,40,2.1,2.64,0.212,0.239,-0.16
dc22-fdcac232,40,0.9,3.62,-0.049,-0.064,0.087
ft09-0d8bbf25,40,1.07,22.62,-0.096,-0.099,0.081
g50t-5849a774,40,0.75,0.43,0.057,0.063,-0.108
ka59-38d34dbb,40,1.95,4.73,-0.291,-0.363,0.236
lf52-271a04aa,40,0.65,2.01,0.027,-0.034,0.217
lp85-305b61c3,40,1.65,19.42,0.189,0.203,0.309
ls20-9607627b,40,1.6,2.05,0.04,0.05,-0.379
m0r0-492f87ba,40,0.8,2.68,-0.005,-0.011,0.067
r11l-495a7899,40,1.82,6.03,0.038,-0.045,-0.582
re86-8af5384d,40,2.17,10.44,-0.305,-0.291,0.369
s5i5-18d95033,40,0.88,2.77,0.252,0.251,0.017
sb26-7fbdac44,40,2.2,12.23,-0.211,-0.161,-0.356
sc25-635fd71a,40,1.2,7.16,0.379,0.386,0.253
sk48-d8078629,40,1.27,0.09,0.071,0.054,-0.234
sp80-589a99af,40,2.75,1.58,0.177,0.087,-0.455
su15-1944f8ab,40,2.75,4.14,0.245,0.144,0.42
tn36-ef4dde99,40,1.25,3.46,-0.245,-0.242,-0.144
tr87-cd924810,40,0.62,1.4,-0.006,-0.011,0.045
tu93-0768757b,40,1.27,10.3,0.093,0.072,0.294
vc33-5430563c,40,2.15,15.93,0.068,0.071,0.194
wa30-ee6fef47,40,3.9,1.37,-0.094,-0.073,0.179
