run,game,pass,turn,level,turns_since_level_start,rounds,asst_chars,loose,any_field,World model,Goal model,Action model,Recent findings,Open questions,Plan,Cross-level notes
20260830_104347_prompt-static-to-system,ar25-0c556536,0,1,1,0,1,622,1,1,1,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,2,1,1,1,946,1,1,0,1,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,3,2,0,1,300,0,1,0,0,0,0,0,1,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,4,2,1,1,1170,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,5,2,2,1,588,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,6,2,3,1,817,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,7,2,4,1,383,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,8,2,5,1,321,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,9,2,6,1,175,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,10,3,0,1,460,1,1,0,0,0,0,0,1,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,11,3,1,2,754,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,12,3,2,2,1074,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,13,3,3,1,184,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,14,3,4,1,468,0,1,0,0,0,0,0,1,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,15,3,5,1,367,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,16,3,6,1,175,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,17,3,7,1,500,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,18,4,0,1,476,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,19,4,1,2,997,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,20,4,2,3,832,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,21,4,3,2,720,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,22,4,4,1,568,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,23,4,5,1,262,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,24,4,6,1,350,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,25,4,7,1,266,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,26,4,8,1,444,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,27,4,9,1,237,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,28,4,10,1,263,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,29,5,0,1,322,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,30,5,1,1,522,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,31,5,2,3,1267,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,32,5,3,1,142,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,33,5,4,1,197,0,0,0,0,0,0,0,0,0
